CustomerID,City,Postcode,Bundle,Contract Duration,Number of Competitors,Activation Date,Termination Date,Termination Reason,Churn Flag,Customer Tenure Days,Customer Tenure Months,Tenure Band,Download Mbps,Contract Type,Competitor Band,Activation Year,Churned,Tenure Months,Term YearMonth
1,Leeds,LS9 8DR,50Mb,0,1,2020-01-04,2020-09-12,Moving Home/Going Away,1,252,8.3,6–12 months,50.0,Monthly Rolling,1 Competitor,2020,1,8.3,2020-09
2,London,SW6 7RY,150Mb,12,1,2020-01-03,2023-01-07,Bad Debt,1,1100,36.1,36–48 months,150.0,12 Months,1 Competitor,2020,1,36.1,2023-01
3,London,SW6 7RZ,150Mb,12,1,2020-01-13,2021-01-15,Package/Deal/Cost,1,368,12.1,12–24 months,150.0,12 Months,1 Competitor,2020,1,12.1,2021-01
4,London,SW6 7SA,1Gb,24,1,2020-01-04,,,0,2067,67.9,48+ months,1000.0,24 Months,1 Competitor,2020,0,67.9,
5,Leeds,LS9 8BD,500Mb,0,1,2020-01-04,2024-03-27,Moving Home/Going Away,1,1544,50.7,48+ months,500.0,Monthly Rolling,1 Competitor,2020,1,50.7,2024-03
6,London,W3 7BS,150Mb,12,1,2020-01-03,2021-04-08,Moving Home/Going Away,1,461,15.1,12–24 months,150.0,12 Months,1 Competitor,2020,1,15.1,2021-04
7,Leeds,LS9 8BD,500Mb,0,1,2020-01-03,2023-05-17,Moving Home/Going Away,1,1230,40.4,36–48 months,500.0,Monthly Rolling,1 Competitor,2020,1,40.4,2023-05
8,London,SW6 7RP,150Mb,12,1,2020-01-17,2021-01-28,Package/Deal/Cost,1,377,12.4,12–24 months,150.0,12 Months,1 Competitor,2020,1,12.4,2021-01
9,Leeds,LS9 8DZ,150Mb,12,0,2020-01-06,2021-06-23,Moving Home/Going Away,1,534,17.5,12–24 months,150.0,12 Months,No Competitors,2020,1,17.5,2021-06
10,Leeds,LS9 8AY,50Mb,0,1,2020-01-04,2021-11-14,Moving Home/Going Away,1,680,22.3,12–24 months,50.0,Monthly Rolling,1 Competitor,2020,1,22.3,2021-11
11,London,W3 7BE,1Gb,12,1,2020-01-03,,,0,2068,67.9,48+ months,1000.0,12 Months,1 Competitor,2020,0,67.9,
12,Leeds,LS9 8BD,750Mb,12,1,2020-01-10,2023-10-05,Moving Home/Going Away,1,1364,44.8,36–48 months,750.0,12 Months,1 Competitor,2020,1,44.8,2023-10
13,London,SW6 7SZ,150Mb,12,2,2020-01-21,2021-06-30,Bad Debt,1,526,17.3,12–24 months,150.0,12 Months,2 Competitors,2020,1,17.3,2021-06
14,London,W3 7BS,500Mb,12,1,2020-01-02,2021-06-21,Moving Home/Going Away,1,536,17.6,12–24 months,500.0,12 Months,1 Competitor,2020,1,17.6,2021-06
15,London,SW11 7DY,1Gb,12,0,2020-01-06,2021-05-05,Moving Home/Going Away,1,485,15.9,12–24 months,1000.0,12 Months,No Competitors,2020,1,15.9,2021-05
